cases,tests,active,deaths,country,updated,continent,recovered,population,oneCasePerPeople,oneTestPerPeople,oneDeathPerPeople,casesPerOneMillion,testsPerOneMillion
133518,6021981,11,1468,Rwanda,1753456487560,Africa,132039,13600464,102,2,9265,9817,442778
494595,1603660,493674,921,Réunion,1753456487529,Africa,0,908061,2,1,986,544672,1766027
34571873,15804065,0,35934,S. Korea,1753456487421,Asia,34535939,51329899,1,3,1428,673523,307892
2166,0,2164,0,Saint Helena,1753456487661,Africa,2,6115,3,0,0,354211,0
6607,126958,0,48,Saint Kitts and Nevis,1753456487652,North America,6559,53871,8,0,1122,122645,2356704
30215,210983,0,410,Saint Lucia,1753456487606,North America,29805,185113,6,1,451,163225,1139752
12324,112382,12261,63,Saint Martin,1753456487633,North America,0,39730,3,0,631,310194,2828643
3452,25400,1001,2,Saint Pierre Miquelon,1753456487659,North America,2449,5759,2,0,2880,599410,4410488
9674,114197,57,124,Saint Vincent and the Grenadines,1753456487640,North America,9493,111551,12,1,900,86723,1023720
17006,187397,15370,31,Samoa,1753456487625,Australia-Oceania,1605,202239,12,1,6524,84089,926612
26185,196855,46,128,San Marino,1753456487611,Europe,26011,34085,1,0,266,768226,5775414
6778,29600,13,80,Sao Tome and Principe,1753456487650,Africa,6685,227679,34,8,2846,29770,130008
841469,45481735,831823,9646,Saudi Arabia,1753456487508,Asia,0,35844909,43,1,3716,23475,1268848
89053,1146543,58,1971,Senegal,1753456487570,Africa,87024,17653671,198,15,8957,5044,64946
2615054,13463733,389,18057,Serbia,1753456487471,Europe,2596608,8653016,3,1,479,302213,1555958
51220,0,0,172,Seychelles,1753456487587,Africa,51048,99426,2,0,578,515157,0
7779,259958,7653,126,Sierra Leone,1753456487645,Africa,0,8306436,1068,32,65924,937,31296
3006155,24756666,0,2024,Singapore,1753456487466,Asia,3004131,5943546,2,0,2937,505785,4165302
11051,62056,54,92,Sint Maarten,1753456487637,North America,10905,43966,4,1,478,251353,1411454
1877605,7448789,0,21224,Slovakia,1753456487476,Europe,1856381,5460193,3,1,257,343872,1364199
1356546,2847701,22,7100,Slovenia,1753456487485,Europe,1349424,2078034,2,1,293,652803,1370382
25954,0,25755,199,Solomon Islands,1753456487613,Australia-Oceania,0,721159,28,0,3624,35989,0
27334,400466,12791,1361,Somalia,1753456487609,Africa,13182,16841795,616,42,12375,1623,23778
4076463,26795090,61362,102595,South Africa,1753456487463,Africa,3912506,60756135,15,2,592,67095,441027
18819,410280,557,147,South Sudan,1753456487620,Africa,18115,11618511,617,28,79037,1620,35313
13914811,471036328,30634,121760,Spain,1753456487428,Europe,13762417,46719142,3,0,384,297840,10082298
672754,6486117,5,16897,Sri Lanka,1753456487515,Asia,655852,21575842,32,3,1277,31181,300619
5507,78646,5501,6,St. Barth,1753456487654,North America,0,9945,2,0,1658,553746,7908095
63993,562941,0,5046,Sudan,1753456487582,Africa,58947,45992020,719,82,9115,1391,12240
82588,242207,81180,1408,Suriname,1753456487572,South America,0,596831,7,2,424,138378,405822
75191,1048704,648,1427,Swaziland,1753456487575,Africa,73116,1184817,16,1,830,63462,885119
2754129,19500873,230,27407,Sweden,1753456487468,Europe,2726492,10218971,4,1,373,269511,1908301
4453053,23833472,292,14452,Switzerland,1753456487460,Europe,4438309,8773637,2,0,607,507549,2716487
57743,146269,0,3165,Syrian Arab Republic,1753456487585,Asia,54578,19364809,335,132,6118,2982,7553
10241523,30742304,0,19005,Taiwan,1753456487432,Asia,10222518,23888595,2,1,1257,428720,1286903
17786,0,397,125,Tajikistan,1753456487622,Asia,17264,9957464,560,0,79660,1786,0
43223,0,42377,846,Tanzania,1753456487595,Africa,0,63298550,1464,0,74821,683,0
